E02980	2020-03-31	（連結子会社） 株式会社 ＢＥＳＳパートナーズ 注１、４	(本社) 東京都渋谷区 (ＬＯＧＷＡＹ) 石川県金沢市 埼玉県熊谷市 茨城県水戸市 茨城県つくば市 静岡県富士市 静岡県榛原郡 静岡県浜松市 愛知県豊田市 福岡県福岡市 熊本県熊本市	100,000 (千円)	ログハウス等の 工事請負事業	100.0(％)
E02980	2020-03-31	（連結子会社） 株式会社ＢＥＳＳ札幌	北海道江別市	10,000 (千円)	ログハウス等の 工事請負事業	100.0(％) 〔100.0(％)〕
E02980	2020-03-31	（連結子会社） 株式会社ＢＥＳＳ岐阜	岐阜県岐阜市	10,000 (千円)	ログハウス等の 工事請負事業	100.0(％) 〔100.0(％)〕
